business_id,business_name,contact_name,phone,website,address,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,rating_secondary_value,rating_secondary_source,top_delights,top_pain_points,osint_confidence,validation_tier,validation_confidence,red_flag_present,red_flag_severity,red_flag_category,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,chamber_member,batch_id,last_reviewed_date,notes,source_file
regions_bank,Regions Bank,Ms. Ryanne Santurio,305-774-5219,regions.com,,Southeast US,financial_services,regional bank,$$$,3.2,Consumer review composites,,,,"Southeastern regional with retail, small-business and CRE focus",OSINT shows recurring complaints on customer service and fees but no singular scandal,0.85,High,0.9,N,none,Reputation,Standard large-regional risk profile,infrastructure_node,Edges into households and SMEs across Southeast,Deposits; lending,Regional economy; CRE; regulation,NPLs; NIM; complaint_trend,CRE and service-perception risk,Monitor CRE metrics and branch-level CSAT; combine with other institutions,Y,batch_banking_01,2026-01-13,Another mainstream regional node; risk is macro/credit and service friction.[web:296],banking.csv
seacoast_bank,Seacoast Bank,Mr. Joaquin Medina,786-814-4747,seacoastbank.com,,Florida,financial_services,Florida community/regional bank,$$$,4.0,Google (branches),,,,Florida-based bank growing via acquisitions; offers retail and business banking,OSINT leans mildly positive but includes standard service/technology complaints,0.8,High,0.85,N,none,Reputation,Resembles other growing Florida regionals,infrastructure_node,"Edges into SMEs, physicians, professionals and households",Deposits; lending; treasury,Florida growth; CRE; integration risk,loan_growth; M&A_activity; NPLs,Integration and CRE concentration,Maintain disciplined integration and risk management; invest in tech,Y,batch_banking_01,2026-01-13,Growing Florida regional node; integration and CRE risk to watch.[web:296],banking.csv
southstate_bank,SouthState Bank,Ms. Ana Chaoui,786-362-8560,southstatebank.com,,Southeast US,financial_services,regional bank,$$$,3.7,Consumer reviews composite,,,,"Regional bank after multiple mergers; offers retail, mortgage and commercial services",Mixed but generally acceptable consumer sentiment; some branch and support complaints,0.85,High,0.9,N,none,Reputation,Typical merged-regional bank profile,infrastructure_node,Edges into consumers and SMEs,Deposits; lending,Merger integration; credit,NPLs; cost_synergies; CSAT,Integration missteps or credit issues,Monitor efficiency ratio and credit quality; clients should maintain backup institutions,Y,batch_banking_01,2026-01-13,Standard southeastern regional node; no unique scandal signal.[web:296],banking.csv
synovus_bank,Synovus Bank,Mr. Nestor J. Mederos,305-756-2310,synovus.com,,Southeast US,financial_services,regional bank,$$$,3.5,Consumer review composites,,,,Georgia-based bank with presence across Southeast; offers retail and commercial banking,Usual mix of positive relationship stories and fee/service complaints,0.85,High,0.9,N,none,Reputation,No major negative outlier indicators,infrastructure_node,"Edges into SMEs, CRE, and households",Deposits; lending,Regional cycles; CRE,NPLs; NIM; CRE_mix,Regional/CRE risk and competition,Manage CRE exposure and differentiate via relationship service and tech,Y,batch_banking_01,2026-01-13,Regional bank node similar to peers; macro/credit risk focus.[web:296],banking.csv
td_bank,TD Bank,Mr. Alvaro Niebles,305-441-5630,tdbank.com,,US East Coast,financial_services,retail & small-business bank,$$$,3.1,Consumer review composites,,,,'America's Most Convenient Bank' with long hours and branch network; strong Canadian parent,OSINT notes mixed customer-service and fee complaints; some regulatory matters over the years,0.9,High,0.9,Y,warning,Regulatory,Has faced regulatory scrutiny in North America; still widely used,infrastructure_node,Edges into retail and small-business clients needing branch convenience,Deposits; small-business loans; cards,Regulation; competition; FX (CAD-USD),regulatory_fines; complaint_trend; NIM,Regulatory actions and reputational spillover,Monitor compliance news; avoid sole-bank reliance for critical funds,Y,batch_banking_01,2026-01-13,Convenience-positioned bank with normal big-bank risks plus some regulatory history.[web:296],banking.csv
terrabank_na,Terrabank,Ms. Kharina Caldera Soto,305-448-4898,terrabank.com,,Miami,financial_services,community bank - commercial & retail,$$$,1.0,Yelp (Coral Gables branch single review),3.7,Indeed employee reviews (3),"Provides commercial, real-estate and retail banking; oriented to local and international communities","A prominent Yelp review warns businesses not to take commercial lending to Terrabank, calling senior commercial lender disingenuous at best""; limited but sharp criticism alongside sparse other sentiment""",0.8,High,0.85,Y,warning,Reputation,OSINT is thin but includes a strong negative commercial-lending experience; employee sentiment neutral-positive,[web:534][web:536][web:538][web:540],infrastructure_node,"Edges into local SMEs, CRE borrowers and international clients",Deposits; CRE/commercial lending,Local CRE; relationship banking,commercial_lending_volume; complaint_narratives,A few badly handled commercial deals could materially hurt reputation in a small market,Prospects should diligence lender/team carefully and compare terms; bank should improve communication and manage lender conduct tightly,Y,batch_banking_01,2026-01-13,Small bank with decent internal views but at least one scathing external review on commercial lending.[web:534][web:536][web:538][web:540],banking.csv
us_century_bank,U.S. Century Bank,Ms. Janessa Cabo,305-715-5141,uscentury.com,,Miami,financial_services,community/commercial bank,$$$,3.8,Google/Yelp (branches),,,,Local bank with strong focus on Hispanic and small-business markets; offers CRE and business lending,OSINT suggests reasonable satisfaction with typical occasional service complaints,0.8,High,0.85,N,none,Reputation,No major scandal signal; standard Miami community-bank profile,infrastructure_node,"Edges into SMEs, professionals and CRE",Deposits; loans,Miami CRE and small-business cycle,loan_book_mix; NPLs; deposit_growth,Concentration in local CRE and communities,Maintain conservative risk management and community ties; invest in digital,Y,batch_banking_01,2026-01-13,Community/commercial bank node integral to local SME ecosystem.[web:296],banking.csv
united_community_bank,United Community Bank,Mr. Adolfo Ospina,305-667-5511,ucbi.com,,Southeast US,financial_services,regional/community bank,$$$,3.9,Consumer review composites,,,,Growing regional bank with focus on relationship banking in Southeast,Reviews generally neutral-positive with occasional service issues,0.85,High,0.9,N,none,Reputation,Fits typical regional/community pattern,infrastructure_node,Edges into local households and SMEs,Deposits; loans,Regional economy; CRE,NIM; NPLs; loan_growth,Regional shock and CRE exposure,Monitor credit quality; retain relationship focus vs larger competitors,Y,batch_banking_01,2026-01-13,Another southeastern regional node; nothing uniquely red-flagged.[web:296],banking.csv
university_credit_union,University Credit Union,Mr. Al Rose,786-425-5024,ucumiami.org,,Miami,financial_services,credit union - UM/community,$,4.4,Google/Yelp composite,,,,Member-owned credit union serving UM community and surrounding areas; praised for friendly staff and lower fees/rates,Smaller branch/ATM footprint than big banks; tech/features may lag; membership eligibility constraints,0.9,High,0.9,N,none,Reputation,OSINT leans clearly positive relative to banks,infrastructure_node,"Edges into students, faculty, staff and local residents",Deposits; auto/consumer loans; some mortgages,Interest-rate cycles; membership trends,membership_growth; loan_to_share_ratio; delinquency,Limited scale and tech investment relative to large banks,Use alongside a major bank for broader services; CU should keep improving digital channels,Y,batch_banking_01,2026-01-13,Well-liked credit-union node with typical scale/tech trade-offs.[web:296],banking.csv
valley_national_bank,Valley National Bank,Mr. Jose Hernandez,305-341-8558,valley.com,,Northeast/Florida,financial_services,regional bank,$$$,3.4,Consumer review composites,,,,Regional bank with presence in NJ/NY/FL; serves retail and commercial clients,OSINT shows standard service/fee complaints but no acute scandal,0.85,High,0.9,N,none,Reputation,Standard regional risk profile,infrastructure_node,Edges into SMEs and households in footprint,Deposits; lending,Regional economy; CRE,NPLs; NIM; complaint_trend,Regional downturns and service-quality perception,Maintain conservative credit; invest in branch service and digital offerings,Y,batch_banking_01,2026-01-13,Regional bank node; no major unique issues surfaced.[web:296],banking.csv
airlab_fitness,Airlab Fitness,Mr. Varun Varadaraj,917-863-4822,airlabfitness.com,,Miami,fitness,high-altitude HIIT studio,$$$,4.9,Yelp (AIRLAB Miami),28,5.0,ClassPass / Mindbody aggregates,"Innovative simulated-altitude training; very positive feedback on coaches, programming and community; members report strong endurance and body-composition results",Workouts are intense and can cause headaches or fatigue until acclimated; Midtown location may be far for some Gables members,0.9,High,0.9,N,none,Operational,"Intensity and altitude concept create acclimation risk but reviews frame this as expected challenge, not malpractice[web:348][web:349][web:351][web:354]",infrastructure_node,Edges into serious fitness enthusiasts and biohackers; connects with corporate wellness and athletic communities,Altitude-controlled group studio; strength and conditioning programming; heart-rate and screen guidance,Trend toward science-backed boutique fitness; competition from other HIIT/orange-style concepts,class_occupancy; member_retention; adverse_symptom_rate,Any health incident under altitude framing could draw scrutiny; niche concept may cap TAM in one location,Maintain strong screening and waivers; coach education on acclimation; clear communication of risks/benefits; explore Coral Gables satellite cautiously,Y,batch_fitness_01,2026-01-13,Highly differentiated HIIT concept with rave reviews; key is maintaining safety and scaling thoughtfully.[web:348][web:349][web:351][web:354],fitness.csv
orangetheory_coral_gables,Orangetheory Fitness Coral Gables,Ms. Mia Cohen,305-797-4611,orangetheory.com/coral-gables,,Coral Gables,fitness,franchise HIIT / heart-rate training,$$$,4.4,Yelp (Coral Gables studio),79,4.7,Listen360 / Mindbody member surveys,Motivating coaches; structured 60-minute classes combining cardio and strength; strong sense of community and measurable results via heart-rate monitors,"Typical boutique complaints around cost, contract terms and occasional overcrowded classes; some see it as a 'fad' format",0.9,High,0.9,N,none,Reputation,"Feedback across platforms emphasizes results and coaching quality; negative sentiment centers on value and style fit, not safety[web:353][web:355][web:357][web:359]",platform_node,"Edges into professionals, students and weight-loss seekers across Gables; hub in national Orangetheory network",Treadmills/rowers/weights; proprietary programming; app and performance tracking,Boutique fitness competition; macro consumer belt-tightening; franchise-level brand management,membership_churn; avg_classes_per_member; NPS; capacity_utilization,Price sensitivity and contract fatigue can drive churn; any bad incident could spill over via national brand,Maintain high coaching standards; keep equipment and studio pristine; use flexible offers for lapsed or price-sensitive members while protecting brand positioning,Y,batch_fitness_01,2026-01-13,"Mature boutique HIIT node with strong loyalty; risk profile is mostly about churn and price perception, not program safety.[web:353][web:355][web:357][web:359]",fitness.csv
american_legion_post_98,American Legion Post 98,Mr. Juan Gomez,786-897-7948,alpost98.org,,Miami/Coral Gables,nonprofit,veterans service organization,$,4.5,Google/Facebook (low volume),,,,"Local American Legion post providing camaraderie, support and community programs for veterans and families",Very limited formal reviews; health depends heavily on membership engagement and leadership,0.75,Moderate,0.8,N,none,Cultural,OSINT shows a typical American Legion post with events and community presence[web:296],cultural_node,"Edges into veterans, families and civic groups",Community events; advocacy; support services,Veteran demographics; volunteer capacity,membership_trend; event_frequency,Aging membership and leadership succession,Recruit younger vets; expand community programming; maintain strong compliance with Legion governance,Y,batch_nonprofit_01,2026-01-13,Standard local Legion post; impact felt mainly through in-person networks rather than online footprint.[web:296],nonprofit.csv
american_red_cross_sfl,American Red Cross - South Florida,Ms. Deborah Koch,786-570-9793,redcross.org/southflorida,,South Florida,nonprofit,disaster relief & blood services,$,3.9,Charity Navigator/CharityWatch (national) [inferred],,,,"Provides disaster response, preparedness, blood collection and support services across South Florida","National organization has had periodic controversies about overhead and disaster fund allocation, but maintains strong overall ratings",0.95,High,0.95,N,none,Infrastructure,OSINT positions ARC as core disaster/relief infrastructure with well-known trade-offs[web:296],infrastructure_node,"Edges into governments, hospitals, donors and volunteers",Disaster relief; training; blood services,Climate events; donor trust; governance,charity_ratings; disaster_response_metrics,Reputational hits if major responses are perceived as mishandled,Maintain transparency on local spending; emphasize measurable local outcomes in SFL,Y,batch_nonprofit_01,2026-01-13,Systemic relief nonprofit; essential but with typical large-NGO scrutiny.[web:296],nonprofit.csv
area_stage_company,Area Stage Company,Ms. Maria Rodaz,305-666-2078,areastage.org,,Miami,nonprofit,performing arts theater,$,4.8,Google/Yelp (moderate),,,,Produces theater and performing arts education; reviews praise high-quality productions and youth programs,Small arts nonprofit highly sensitive to funding and attendance cycles,0.85,High,0.9,N,none,Cultural,OSINT shows strong local reputation as a creative theater hub[web:296],cultural_node,"Edges into families, students and arts patrons",Performances; classes; camps,Arts funding; audience habits,attendance; season_subscriptions; donor_trend,Revenue volatility and venue/lease risk,"Diversify income (classes, grants, donors); deepen school and community partnerships",Y,batch_nonprofit_01,2026-01-13,"Well-liked theater/education node; main risks are financial and space-related, not trust.[web:296]",nonprofit.csv
arts_business_council_miami,Arts & Business Council of Miami,Ms. Renee Pesci,305-326-1011,artsbizmiami.org,,Miami,nonprofit,arts support & capacity-building,$,4.7,Partner/participant sentiment (qualitative),,,,"Connects arts organizations with business skills, board training and corporate volunteers; acts as a backbone org for the arts ecosystem",Impact is indirect and not consumer-reviewed; funding and program relevance must be maintained,0.85,High,0.9,N,none,Cultural,OSINT highlights it as a key intermediary strengthening arts organizations[web:296],platform_node,"Edges into arts nonprofits, corporations and professionals",Training; board matching; advocacy,Corporate philanthropy trends; arts funding,program_participation; corporate_partners,Funding shifts and relevance risk,Grow corporate partnerships; measure/communicate program ROI to arts groups and funders,Y,batch_nonprofit_01,2026-01-13,Ecosystem-support node rather than direct-service; vital leverage point for arts resiliency.[web:296],nonprofit.csv
bbbs_miami,Big Brothers Big Sisters of Miami,Ms. Rebeka Lengel,305-644-7060,bbbsmiami.org,,Miami,nonprofit,youth mentoring,$,4.7,Charity ratings & local stories (qualitative),,,,Matches youth with adult mentors and provides support programming; widely regarded as high-impact evidence-based model,Volunteer recruitment and match retention are constant challenges; safeguarding and background checks critical,0.9,High,0.95,N,none,Cultural,OSINT shows strong outcomes and reputation similar to national BBBS pattern[web:296],cultural_node,"Edges into schools, families, courts and donors",Mentoring; youth development,Economic conditions; volunteer time; school partnerships,match_length; number_of_active_matches,Volunteer pipeline fragility and safeguarding risks,"Invest in mentor support, screening and training; diversify funding for match support",Y,batch_nonprofit_01,2026-01-13,"Trusted youth-mentoring node; risk is operational (screening/support), not perception.[web:296]",nonprofit.csv
blue_missions,BLUE Missions,Mr. Richard Sixto Jr,888-702-2583,bluemissions.org,,Miami/Latin America,nonprofit,clean water & sanitation (WASH) + student trips,$,4.8,Google/Facebook/participant reviews (low-moderate),,,,"Nonprofit focused on rural water and sanitation projects, often involving student/volunteer trips to Latin America","Like any voluntourism-adjacent model, must guard against perception of 'poverty tourism' and ensure projects are community-led and sustainable",0.85,High,0.9,N,none,Cultural,OSINT shows positive impact stories and participant enthusiasm with no major controversies[web:296],cultural_node,"Edges into students, schools, donors and rural communities",Water/sanitation builds; immersive trips,Global health; travel risk; local partnerships,project_completion; community_feedback; repeat_school_partners,Perception and sustainability risk if projects are not well-maintained,"Emphasize local ownership, long-term maintenance and transparent impact metrics",Y,batch_nonprofit_01,2026-01-13,Clean-water/volunteer node; good sentiment but must stay disciplined on WASH best practices.[web:296],nonprofit.csv
breakthrough_t1d_sfl,Breakthrough T1D (South Florida),Mr. Carlos Perez Ruiz,786-741-9223,breakthrought1d.org,,South Florida,nonprofit,Type 1 diabetes research & advocacy,$,4.6,Charity ratings (national) [formerly JDRF],,,,Funds T1D research and supports families; local office drives fundraising walks/events,Dependent on donor base and broader biomedical research landscape; slow visible progress can frustrate stakeholders,0.9,High,0.95,N,none,Infrastructure,OSINT indicates high credibility as a major T1D nonprofit[web:296],infrastructure_node,"Edges into families, researchers, pharma and healthcare systems",Research funding; advocacy; community support,Research breakthroughs; healthcare policy,fundraising_trend; research_grant_spend,Donor fatigue and competition for research dollars,Maintain clear communication about research impact; diversify corporate and peer-to-peer fundraising,Y,batch_nonprofit_01,2026-01-13,Trusted T1D infrastructure node; risk centered on funding and research timelines.[web:296],nonprofit.csv
coral_gables_fop7,"C. Gables Fraternal Order of Police, Lodge #7",Mr. Chrisopher Challenger,305-446-6703,coralgablesfop.com,,Coral Gables,nonprofit,police fraternal organization,$,4.0,Community/press sentiment (qualitative),,,,"Represents interests of Coral Gables police officers; engages in advocacy, bargaining and community outreach",Police unions/associations can face reputational tension in policing debates; views on them are polarized,0.85,High,0.9,Y,warning,Reputation,"OSINT shows standard FOP presence; risk is context-dependent on policing issues, not specific scandal[web:296]",cultural_node,"Edges into officers, city government and residents",Advocacy; member benefits; some charity work,Public safety debates; city politics,media_mentions; contract_outcomes,Perception risk during controversial incidents or negotiations,Maintain transparent communication; support community-oriented initiatives; emphasize accountability partnerships,Y,batch_nonprofit_01,2026-01-13,Police-fraternal node; reputational risk tracks broader policing discourse.[web:296],nonprofit.csv
camillus_house,Camillus House,Ms. Karlah Hernandez,305-533-0192,camillus.org,,Miami,nonprofit,homeless services & housing,$,4.8,Charity Navigator (4/4 stars),13,4.7,Yelp + TripAdvisor reviews,"Provides shelter, housing, meals, healthcare, mental health and other services to people experiencing homelessness; reviews call it an 'oasis' and 'one of the best organizations'","Some anecdotal online criticism about rules or staff from clients, typical for shelters; work is inherently high-stress and complex",0.95,High,0.95,N,none,Infrastructure,OSINT shows very strong charity ratings and overwhelmingly positive client/volunteer stories despite occasional negative anecdotes[web:568][web:571][web:572][web:575][web:581][web:578],infrastructure_node,"Edges into unsheltered residents, hospitals, courts, churches and volunteers",Shelter; permanent housing; wraparound services,Housing costs; mental health/drug crises; public policy,bed_capacity; housing_exits; charity_ratings,Funding and capacity constraints; neighborhood/political pressures,Sustain diversified funding; keep strong data on outcomes; engage community and policymakers as partners,Y,batch_nonprofit_01,2026-01-13,Anchor homelessness-services node in Miami with high third-party ratings.[web:568][web:571][web:572][web:575][web:581][web:578],nonprofit.csv
chapman_partnership,Chapman Partnership,Ms. Najely Deleon,305-329-3000,chapmanpartnership.org,,Miami,nonprofit,homeless assistance & support,$,4.6,Charity ratings & local media (qualitative),,,,"Operates Homeless Assistance Centers for Miami-Dade; provides shelter, meals and services as part of county continuum of care","Shelter work faces same tensions as Camillus: client frustrations, neighborhood concerns and funding volatility",0.9,High,0.95,N,none,Infrastructure,OSINT confirms Chapman as a core partner in Miami's homelessness system[web:296],infrastructure_node,"Edges into homeless individuals, county government and service providers",Shelter; housing placement; case management,Housing costs; funding; policy,bed_nights; housing_exits; return_to_homelessness_rate,Funding shocks or public backlash around facilities,Maintain strong outcomes reporting; engage neighborhoods; coordinate tightly with other system players,Y,batch_nonprofit_01,2026-01-13,"Co-anchor of Miami homelessness infrastructure; systemic, not reputational, risks dominate.[web:296]",nonprofit.csv
chs_florida_miami,Children's Home Society of Florida - Miami,Ms. Gloria Saiz,305-254-9759,chsfl.org,,Miami,nonprofit,child welfare & family services,$,4.4,Charity Navigator (statewide) [inferred],,,,"Provides foster care, adoption, counseling and family support services; major statewide child-welfare nonprofit",Work happens in complex systems where some families may have negative experiences even with best efforts; funding heavily public,0.9,High,0.9,N,none,Infrastructure,"OSINT shows CHS as large, established provider with overall strong ratings",infrastructure_node,"Edges into courts, DCF, families and schools",Foster/adoption; counseling,Policy and funding; workforce stress,placement_stability; time_to_permanency,Burnout and public scrutiny of child-welfare cases,Support staff well-being; maintain transparency and quality metrics,Y,batch_nonprofit_01,2026-01-13,Large child-welfare node; risks are structural to the system.[web:296],nonprofit.csv
christ_journey_church,Christ Journey Church,Ms. Vannia Enriquez,305-448-4425,christjourney.org,,Coral Gables/Miami,nonprofit,church & community ministries,$,4.7,Google/Facebook (moderate),,,,"Non-denominational church with multiple ministries, missions and community outreach; reviews highlight welcoming environment and kids programs",Experience varies by congregation and theology preferences; funding relies on tithes/donations,0.85,High,0.9,N,none,Cultural,OSINT suggests a healthy mid-large church with active outreach[web:296],cultural_node,"Edges into families, youth, local nonprofits and missions",Worship; education; local/global outreach,Religious affiliation trends; local demographics,attendance; small_group_participation,Membership and leadership succession,Invest in next-gen leadership; continue community partnerships and transparency,Y,batch_nonprofit_01,2026-01-13,Church/community node with strong local presence; typical faith-organization risks.[web:296],nonprofit.csv
coral_gables_community_foundation,Coral Gables Community Foundation,Mr. Mauricio Vivero,305-446-9670,gablesfoundation.org,,Coral Gables,nonprofit,community foundation & grantmaker,$,4.8,Local donor/partner sentiment (qualitative),,,,"Manages donor-advised funds and grants supporting education, culture and civic projects in Coral Gables","Impact and trust depend on governance, transparency and alignment with local priorities",0.9,High,0.95,N,none,Infrastructure,OSINT reflects a respected local foundation central to Gables philanthropy[web:296],platform_node,"Edges into donors, nonprofits, city government and residents",Grants; scholarships; civic initiatives,Market performance; donor trends,asset_growth; grants_disbursed,Market downturns and donor fatigue,Diversify endowment sources; show clear local impact; maintain strong governance,Y,batch_nonprofit_01,2026-01-13,Civic-philanthropy platform node for Coral Gables; key lever for local impact funding.[web:296],nonprofit.csv
coral_gables_womans_club,Coral Gables Woman's Club,Ms. Arely Ruiz,305-632-5996,coralgableswomansclub.org,,Coral Gables,nonprofit,women's civic/service club,$,4.8,Google/Facebook (low-moderate),,,,"Historic club focused on volunteerism, scholarships and a free children's dental clinic; community members praise events and service",Membership clubs can struggle with aging membership and recruiting younger volunteers,0.85,High,0.9,N,none,Cultural,OSINT highlights this as a well-regarded legacy service club[web:296],cultural_node,"Edges into women leaders, students and low-income families needing dental care",Volunteer programs; dental clinic,Volunteer pipeline; space and funding,membership_trend; clinic_appointments,Aging volunteer base and facility costs,Modernize outreach; partner with schools and health orgs; maintain building/clinic funding,Y,batch_nonprofit_01,2026-01-13,Historic women's club with tangible health impact; key risk is generational transition.[web:296],nonprofit.csv
elcmd_miami,Early Learning Coalition of Miami-Dade/Monroe,Mr. Evelio Torres,305-646-7220,elcmdm.org,,Miami-Dade/Monroe,nonprofit,early childhood funding & coordination,$,4.5,State oversight/partner sentiment (qualitative),,,,"Administers school-readiness and VPK funds, supporting childcare providers and families",Dependent on public funding and complex regulation; any mismanagement could have outsized consequences,0.9,High,0.95,N,none,Infrastructure,OSINT describes ELC as central to early-learning ecosystem with regulatory oversight,platform_node,"Edges into childcare centers, parents and state agencies",Subsidies; quality initiatives,State budgets; policy changes,children_served; provider_quality_scores,Compliance and funding risk,Maintain strong internal controls; communicate clearly with providers/families; advocate for stable funding,Y,batch_nonprofit_01,2026-01-13,Policy/funding rail for early childhood in Miami-Dade/Monroe.[web:296],nonprofit.csv
fcc_usa_soccer_for_peace,FCC USA (Soccer for Peace Foundation),Ms. Danielle Dubuc Wightman,786-445-1544,fcc.futbol/usa,,Miami,nonprofit,youth sports & peace-building,$,4.6,Social/participant sentiment (low volume),,,,"Uses soccer to build community and promote peace, especially among youth",OSINT sparse; impact measured in local participation and stories rather than ratings,0.7,Moderate,0.8,N,none,Cultural,"Available info suggests positive, small- to mid-scale sports nonprofit",cultural_node,"Edges into youth, schools and immigrant communities",Soccer leagues; trainings; events,Field access; coaching; funding,participant_counts; partner_schools,Volunteer and facility constraints,Secure reliable fields; train coaches; build recurring donor base,Y,batch_nonprofit_01,2026-01-13,Community-sport node; low-data but positive narrative.[web:296],nonprofit.csv
friends_of_gables_high,Friends of Gables High,Ms. Jacqueline Gross-Kellogg,305-446-9670,friendsofgableshigh.org,,Coral Gables,nonprofit,school foundation/booster,$,4.7,Parent/alumni sentiment (qualitative),,,,Raises funds and supports programs for Coral Gables Senior High School,Highly dependent on engaged parents/alumni; leadership turnover risk,0.8,High,0.85,N,none,Cultural,OSINT shows active support organization for Gables High,cultural_node,"Edges into students, parents, alumni and school administration",Fundraising; grants; events,School demographics; public funding,funds_raised; program_count,Volunteer fatigue and donor concentration,Broaden alumni outreach; systematize communications and events,Y,batch_nonprofit_01,2026-01-13,School-support node; typical PTA/booster risk profile.[web:296],nonprofit.csv
friends_of_the_underline,Friends of The Underline,Mr. Jake Moskowitz,306-603-9896,theunderline.org,,Miami,nonprofit,parks & urban trail advocacy,$,4.8,Press/community feedback (qualitative),,,,"Leads capital, programming and advocacy for The Underline linear park under Metrorail; widely seen as transformative urban project",Dependent on ongoing fundraising and political support; may face neighborhood and maintenance concerns,0.9,High,0.95,N,none,Infrastructure,OSINT highlights strong support and visibility as a marquee public-space initiative[web:296],platform_node,"Edges into residents, commuters, donors and public agencies",Capital projects; events; stewardship,City budgets; philanthropy; urban policy,trail_segment_completion; event_attendance,Long-term maintenance and equitable activation,Plan for sustainable maintenance; ensure programming serves diverse communities along corridor,Y,batch_nonprofit_01,2026-01-13,High-impact urban-space node; success shapes Miami public-realm narrative.[web:296],nonprofit.csv
gables_good_government,Gables Good Government Committee,Ms. Susan Davis,305-798-1456,gablesgoodgovernment.org,,Coral Gables,nonprofit,civic engagement & watchdog,$,4.3,Local political/media sentiment (mixed/qualitative),,,,Nonpartisan group promoting transparency and ethical governance in Coral Gables,Civic watchdog role can be polarizing; perceived partisanship is a reputational risk,0.8,High,0.85,Y,warning,Reputation,OSINT suggests an active civic group; reactions vary depending on political alignment[web:296],cultural_node,"Edges into voters, city officials and neighborhood associations",Forums; endorsements; advocacy,Local political cycles,meeting_attendance; media_mentions,Perceptions of bias or factionalism,Maintain transparent processes; diversify board; clearly communicate nonpartisan mission,Y,batch_nonprofit_01,2026-01-13,Civic-governance node with inherently polarized reception; no specific scandal surfaced.[web:296],nonprofit.csv
habitat_miami,Habitat for Humanity of Greater Miami,Ms. Maureen Ruggiero,305-634-3628,miamihabitat.org,,Miami,nonprofit,affordable homebuilding & repair,$,4.7,Charity ratings + homeowner/volunteer stories,,,,Builds and rehabilitates homes with volunteers and partner families; strong track record of tangible housing impact,Land costs and permitting in Miami are challenging; volunteer and donation dependency acute,0.9,High,0.95,N,none,Infrastructure,"OSINT shows robust, positive reputation consistent with Habitat brand",infrastructure_node,"Edges into low-income families, volunteers and corporate sponsors",Homebuilding; repairs; ReStore,Housing market; construction costs,homes_completed; volunteer_hours; charity_ratings,Cost escalation and land scarcity,Strengthen land-bank strategies; grow corporate volunteer programs; maintain clear family-selection criteria,Y,batch_nonprofit_01,2026-01-13,"Affordable-housing infrastructure node; risk is mostly financial/structural, not trust.[web:296]",nonprofit.csv
humane_society_miami,Humane Society of Greater Miami,Ms. Toni Diaz,305-749-1816,humanesocietymiami.org,,Miami,nonprofit,animal welfare & adoptions,$,4.7,Google/Yelp + Charity Navigator (strong),,,,"Operates shelter, adoptions, spay/neuter and community outreach; reviews highlight caring staff and clean facility","As with many shelters, some negative posts about adoption decisions or policies exist, but not dominant",0.9,High,0.95,N,none,Cultural,OSINT points to strong reputation with high animal-welfare ratings,cultural_node,"Edges into pet owners, rescuers and volunteers",Shelter; adoptions; clinics,Pet ownership trends; funding,adoption_rate; live_release_rate,Disease outbreaks or handling controversies,Maintain high medical and behavioral standards; transparent reporting; community education,Y,batch_nonprofit_01,2026-01-13,Core animal-welfare node; broadly trusted.[web:296],nonprofit.csv
jose_milton_foundation,Jose Milton Foundation,Ms. Ana VeigaMilton,305-450-8222,miltonphilanthropy.org,,Miami,nonprofit,family foundation & philanthropy,$,4.6,Press/beneficiary sentiment (qualitative),,,,"Family foundation funding education, healthcare, arts and community projects; known for large gifts to local institutions",Transparency typical of family foundations; influence concentrated in one family,0.85,High,0.9,N,none,Infrastructure,"OSINT shows a generous, visible philanthropic actor with positive local impact stories[web:296]",platform_node,"Edges into universities, hospitals and nonprofits as grantees",Grants; scholarships; capital gifts,Market performance; family priorities,grant_volume; focus_areas,Concentration risk in donor intent and market cycles,Maintain clear grantmaking strategy; communicate impact; cultivate co-funding partnerships,Y,batch_nonprofit_01,2026-01-13,Key philanthropic node in Miami; shapes funding for several sectors.[web:296],nonprofit.csv
junior_orange_bowl,Junior Orange Bowl,Ms. Lisa Albizu-Vazquez,305-662-1210,jrorangebowl.org,,Coral Gables/Miami,nonprofit,youth sports & festival events,$,4.6,Community/parent reviews (qualitative),,,,"Organizes youth sports, parades and events tied to Orange Bowl season; longstanding local tradition","Weather, sponsorships and logistics (traffic, safety) create recurring operational risk",0.85,High,0.9,N,none,Cultural,OSINT reflects a beloved youth/festival brand with strong community roots[web:296],cultural_node,"Edges into youth, schools, sponsors and the Orange Bowl Committee",Parades; sports; arts events,Tourism; sponsorship climate,event_attendance; sponsor_mix,Event disruptions or safety incidents,Strengthen planning and safety protocols; diversify sponsors; expand year-round programming,Y,batch_nonprofit_01,2026-01-13,Youth/festival node closely linked to broader Orange Bowl ecosystem.[web:296],nonprofit.csv
